Date,Avg.Temp
3/23/20,55.5
3/24/20,54.1
3/25/20,54.9
3/26/20,50.5
3/27/20,54.3
3/28/20,54.1
3/29/20,56
3/30/20,59.2
3/31/20,64.3
4/1/20,62.7
4/2/20,60.3
4/3/20,58.2
4/4/20,57.1
4/5/20,55.5
4/6/20,53.9
4/7/20,51.8
4/8/20,51.2
4/9/20,49.5
4/10/20,52.8
4/11/20,57.4
4/12/20,55.8
4/13/20,57.1
4/14/20,63.1
4/15/20,67.4
4/16/20,62
4/17/20,57.5
4/18/20,58.3
4/19/20,58.5
4/20/20,59.5
4/21/20,62.9
4/22/20,72.7
4/23/20,80
4/24/20,82.1
4/25/20,79.1
4/26/20,75.2
4/27/20,72
4/28/20,72
4/29/20,66.1
4/30/20,67.4
5/1/20,67.5
5/2/20,66.6
5/3/20,66.9
5/4/20,71.1
5/5/20,79
5/6/20,80.1
5/7/20,79.2
5/8/20,73.7
5/9/20,67.6
5/10/20,63.9
5/11/20,64.9
5/12/20,62.7
5/13/20,63.5
5/14/20,67.4
5/15/20,68.3
5/16/20,70.3
5/17/20,68.4
5/18/20,63.1
5/19/20,62.1
5/20/20,64
5/21/20,71.5
5/22/20,65.7
5/23/20,65.1
5/24/20,68.2
5/25/20,72.7
5/26/20,74.1
5/27/20,71.6
5/28/20,67.3
5/29/20,65.5
5/30/20,65.4
5/31/20,66.1
6/1/20,75.2
6/2/20,74
6/3/20,79.6
6/4/20,68.6
6/5/20,63.5
6/6/20,65.2
6/7/20,68.5
6/8/20,74.4